#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTL6A	UNG	9606.ENSP00000397552	9606.ENSP00000242576	0	0.486	0	0	0.283	0	0	0	0.616
ACTL6A	BRD4	9606.ENSP00000397552	9606.ENSP00000263377	0	0	0	0	0.054	0.345	0	0.268	0.507
ACTL6A	CFDP1	9606.ENSP00000397552	9606.ENSP00000283882	0	0	0	0	0.059	0.312	0.540	0.236	0.742
ACTL6A	MAD2L1	9606.ENSP00000397552	9606.ENSP00000296509	0	0	0	0	0.353	0.073	0	0.101	0.414
ACTL6A	RRM1	9606.ENSP00000397552	9606.ENSP00000300738	0	0	0	0	0.403	0.070	0	0	0.421
ACTL6A	CSTF3	9606.ENSP00000397552	9606.ENSP00000315791	0	0.033	0	0	0.361	0.091	0	0.057	0.404
ACTL6A	ARID1A	9606.ENSP00000397552	9606.ENSP00000320485	0	0	0	0	0.067	0.966	0.900	0.993	0.999
ACTL6A	DMAP1	9606.ENSP00000397552	9606.ENSP00000361363	0	0	0	0	0.118	0.963	0.900	0.930	0.999
ACTL6A	BCL7C	9606.ENSP00000397552	9606.ENSP00000369674	0	0	0	0	0.074	0.784	0.900	0.433	0.987
ACTL6A	RFC4	9606.ENSP00000397552	9606.ENSP00000376272	0	0	0	0	0.471	0.058	0	0.102	0.514
ACTL6A	BRD2	9606.ENSP00000397552	9606.ENSP00000378702	0	0	0	0	0.049	0.635	0	0.220	0.706
ACTL6A	NUP37	9606.ENSP00000397552	9606.ENSP00000448054	0	0	0	0	0.391	0.071	0	0.049	0.415
ACTL6A	TBL1XR1	9606.ENSP00000397552	9606.ENSP00000405574	0	0	0	0	0.064	0.623	0	0.186	0.688
ACTL6A	HDAC2	9606.ENSP00000397552	9606.ENSP00000430432	0	0	0	0	0.196	0.174	0	0.603	0.714
ADAM9	MAD2L1	9606.ENSP00000419446	9606.ENSP00000296509	0	0	0	0	0.060	0	0	0.711	0.716
ADAM9	MMP14	9606.ENSP00000419446	9606.ENSP00000308208	0	0	0	0	0.099	0	0	0.396	0.433
ADNP	XPO4	9606.ENSP00000360662	9606.ENSP00000255305	0	0	0	0	0.056	0	0	0.393	0.402
ADNP	BRD4	9606.ENSP00000360662	9606.ENSP00000263377	0	0	0	0	0.138	0.510	0	0.065	0.571
ADNP	POGZ	9606.ENSP00000360662	9606.ENSP00000271715	0	0	0	0	0.399	0.309	0	0.373	0.716
ADNP	ARID1A	9606.ENSP00000360662	9606.ENSP00000320485	0	0	0	0	0.191	0.292	0	0.606	0.754
ADNP	SPAST	9606.ENSP00000360662	9606.ENSP00000320885	0	0	0	0	0.085	0	0	0.465	0.489
ADNP	RTF1	9606.ENSP00000360662	9606.ENSP00000374280	0	0	0	0	0.434	0	0	0	0.434
ADNP	SIN3A	9606.ENSP00000360662	9606.ENSP00000378402	0	0	0	0	0.414	0	0	0.094	0.446
AGO2	PAPOLA	9606.ENSP00000220592	9606.ENSP00000216277	0	0	0	0	0.110	0	0	0.435	0.476
AGO2	PAF1	9606.ENSP00000220592	9606.ENSP00000221265	0	0	0	0	0.049	0.315	0	0.164	0.409
AGO2	CDK7	9606.ENSP00000220592	9606.ENSP00000256443	0	0	0	0	0.049	0	0	0.421	0.425
AGO2	NUP37	9606.ENSP00000220592	9606.ENSP00000448054	0	0	0	0	0.061	0.045	0.400	0.071	0.433
AGO2	MEF2D	9606.ENSP00000220592	9606.ENSP00000271555	0	0	0	0	0.064	0.071	0	0.406	0.439
AGO2	P4HA2	9606.ENSP00000220592	9606.ENSP00000384999	0	0	0	0	0.042	0	0	0.441	0.441
AGO2	UBXN7	9606.ENSP00000220592	9606.ENSP00000296328	0	0	0	0	0.163	0.300	0	0.129	0.445
AGO2	CD9	9606.ENSP00000220592	9606.ENSP00000371958	0	0	0	0	0.042	0	0	0.462	0.463
AGO2	TGFB1	9606.ENSP00000220592	9606.ENSP00000221930	0	0	0	0	0.047	0	0	0.478	0.481
AGO2	PRNP	9606.ENSP00000220592	9606.ENSP00000399376	0	0	0	0	0	0.312	0	0.288	0.489
AGO2	POLR2H	9606.ENSP00000220592	9606.ENSP00000415536	0	0	0	0	0.044	0	0.500	0	0.501
AGO2	IRAK1	9606.ENSP00000220592	9606.ENSP00000358997	0	0	0	0	0.056	0.069	0	0.491	0.514
AGO2	CNOT2	9606.ENSP00000220592	9606.ENSP00000229195	0	0	0	0	0.050	0.399	0	0.274	0.549
